sentence,label_id,label
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",2,positive
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",2,positive
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,2,positive
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",1,neutral
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",0,negative
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2,positive
Customers include hotels and restaurants as well as wholesalers and some retailers .,1,neutral
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",2,positive
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,1,neutral
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",1,neutral
"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",1,neutral
Marimekko is considering further measures in the matter .,1,neutral
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,1,neutral
"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",1,neutral
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",2,positive
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,1,neutral
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",1,neutral
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",1,neutral
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,1,neutral
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",1,neutral
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",0,negative
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,1,neutral
"Its annual capacity is some 10,000 MW .",1,neutral
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",1,neutral
"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics .",1,neutral
Exel wants to serve its industrial customers with individual products .,1,neutral
The policy was also aimed at making the companies more profitable and competitive .,2,positive
"` Sanoma is a buyer not a target , ' he said .",1,neutral
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,1,neutral
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",1,neutral
"For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece .",1,neutral
"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",1,neutral
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",2,positive
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .,1,neutral
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,1,neutral
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .,0,negative
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0,negative
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,1,neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",1,neutral
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",1,neutral
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",0,negative
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",1,neutral
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,0,negative
The company then said it will focus its resources on clinical research .,1,neutral
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",2,positive
"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",1,neutral
"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news",1,neutral
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",2,positive
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',1,neutral
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,1,neutral
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",0,negative
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",1,neutral
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,1,neutral
Payment of shares shall be effected on subscription .,1,neutral
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",0,negative
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",1,neutral
"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",1,neutral
Uponor maintains its full-year guidance for 2010 .,1,neutral
"The interim report for the first quarter is published on May 8 , 2009 .",1,neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,1,neutral
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2,positive
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",1,neutral
"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",1,neutral
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. .",1,neutral
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,1,neutral
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,0,negative
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,1,neutral
BM4 middle layer headbox will be equipped with a dilution control system .,1,neutral
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",1,neutral
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",2,positive
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,0,negative
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",1,neutral
"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",1,neutral
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",1,neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",1,neutral
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",2,positive
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",2,positive
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0,negative
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,2,positive
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",0,negative
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",1,neutral
"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",1,neutral
The Board of Directors was authorized to decide on other terms of the share issue .,1,neutral
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,2,positive
"The value of the order is EUR 700,000 .",1,neutral
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .,1,neutral
"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .",1,neutral
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",1,neutral
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",1,neutral
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",1,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion .,1,neutral
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,2,positive
"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",1,neutral
"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",1,neutral
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",1,neutral
Sanoma News ' advertising sales decreased by 22 % during the year .,0,negative
The EPS improved to EUR0 .38 from EUR0 .27 .,2,positive
One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,1,neutral
Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,2,positive
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",2,positive
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1,neutral
"With this , the company will exit the contract manufacturing service segment .",1,neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,0,negative
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",2,positive
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,1,neutral
The total investment of the project will be approximately EUR 36m .,1,neutral
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",2,positive
Coffee will be served starting at 14:30 EET as well as after the event .,1,neutral
The group 's net sales in 2007 were EUR683 .6 m.,1,neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",1,neutral
`` The issues identified by Stonesoft affect a range of content inspection technology .,1,neutral
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,1,neutral
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,2,positive
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,1,neutral
The issuer is solely responsible for the content of this announcement .,1,neutral
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,2,positive
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",1,neutral
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",1,neutral
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,neutral
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",0,negative
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2,positive
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",1,neutral
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",1,neutral
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,1,neutral
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",1,neutral
Symphony Services provides development services for Aldata GOLD .,1,neutral
This will bring cost savings of about EUR 3mn a year .,2,positive
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",2,positive
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",1,neutral
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",2,positive
"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",1,neutral
Less than ten people will face pension agreements .,1,neutral
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,1,neutral
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,2,positive
"The remaining amount will be funded through debt , the Danish bank said .",1,neutral
The order also includes start-up and commissioning services .,1,neutral
Prices and delivery volumes of broadband products decreased significantly in 2005 .,0,negative
Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,2,positive
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",2,positive
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",0,negative
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",1,neutral
The deal means that ten persons in three countries will transfer to Tieto .,1,neutral
BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,1,neutral
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,2,positive
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",1,neutral
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",2,positive
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",2,positive
"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .",1,neutral
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,0,negative
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",1,neutral
Each year the dividend is deducted from the subscription price .,1,neutral
R&D Loan ) .,1,neutral
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",1,neutral
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",1,neutral
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",0,negative
"The total floor area of the plant expansion is 29,000 square metres .",1,neutral
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,2,positive
"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",1,neutral
Net sales fell by 5 % from the previous accounting period .,0,negative
"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier .",2,positive
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,1,neutral
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,1,neutral
Why not give your bedroom a cool makeover for summer .,1,neutral
"However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said .",1,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,1,neutral
The company website is www.ahlstrom.com .,1,neutral
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",0,negative
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",1,neutral
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",1,neutral
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,0,negative
The first group of customers to be trained will be paint-shop owners and their assistants .,1,neutral
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",1,neutral
The duration of the contract is 37 months .,1,neutral
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",2,positive
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",0,negative
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,1,neutral
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),1,neutral
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",2,positive
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2,positive
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",1,neutral
Nordea sees a return to positive growth for the Baltic countries in 2011 .,2,positive
"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .",1,neutral
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",2,positive
To see a slide show of all the newest product releases from Fiskars .,1,neutral
The sellers were the founders of the company .,1,neutral
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",2,positive
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",1,neutral
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",1,neutral
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,0,negative
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,0,negative
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,1,neutral
Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,2,positive
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,0,negative
"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa .",1,neutral
The Group also has a strong global position in other fishing categories .,2,positive
"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",1,neutral
The contract is worth some EUR 1 million .,1,neutral
Basware finances the acquisition with a bank loan .,1,neutral
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,positive
"Previously , the plant was expected to be completed by the end of 2008 .",1,neutral
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",1,neutral
The corrected chapter is in its entirety below .,1,neutral
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,0,negative
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,2,positive
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",0,negative
`` This could be us .,1,neutral
Otherwise the situation is under control .,1,neutral
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",1,neutral
"Cash flow after investments amounted to EUR45m , down from EUR46m .",0,negative
"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",1,neutral
"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",1,neutral
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,0,negative
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",1,neutral
Le Lay succeeds Walter G++nter and will be based in Finland .,1,neutral
The company specialises in temporary electrification and heating at construction sites .,1,neutral
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",2,positive
"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''",1,neutral
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",2,positive
Decisions are to be made as quickly as possible .,1,neutral
"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .",1,neutral
"The money will be spread mainly over 2011 and 2012 , the company said .",1,neutral
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",1,neutral
The final outcome of the rights offering is to be reported around 23 October 2009 .,1,neutral
Return on capital employed rose by 4.8 percentage points to 19.6 % .,2,positive
The business development initiatives in North America are headed by Lynn Shanahan .,1,neutral
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,0,negative
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",2,positive
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",1,neutral
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",2,positive
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",1,neutral
"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",1,neutral
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,1,neutral
"The contract value amounts to about EUR11m , the company added .",1,neutral
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,2,positive
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,positive
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,2,positive
A total of $ 78 million will be invested in the project .,1,neutral
A paper mill in the central Maine town of Madison soon will have a new owner .,1,neutral
`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',1,neutral
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",1,neutral
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2,positive
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,1,neutral
