sentence,label_id,label,prediction,zeropred
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",0,negative,negative,negative
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",0,negative,negative,negative
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,0,negative,negative,neutral
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",0,negative,negative,positive
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0,negative,negative,neutral
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",0,negative,neutral,neutral
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,0,negative,negative,negative
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",0,negative,neutral,neutral
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",0,negative,negative,positive
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",0,negative,negative,negative
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,0,negative,negative,negative
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,0,negative,neutral,positive
"However , the growth margin slowed down due to the financial crisis .",0,negative,negative,positive
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .",0,negative,negative,negative
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,0,negative,negative,negative
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,0,negative,negative,neutral
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",0,negative,neutral,neutral
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",0,negative,negative,negative
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,0,negative,negative,positive
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",0,negative,positive,neutral
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",0,negative,negative,positive
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",0,negative,negative,negative
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,0,negative,negative,neutral
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",0,negative,negative,positive
"In the Baltic countries , sales fell by 42.6 % .",0,negative,negative,neutral
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",0,negative,negative,negative
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,0,negative,negative,neutral
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,0,negative,negative,negative
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,0,negative,negative,negative
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",0,negative,negative,negative
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",0,negative,neutral,positive
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",0,negative,negative,negative
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,0,negative,negative,positive
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,0,negative,neutral,negative
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,0,negative,negative,negative
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0,negative,negative,positive
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",0,negative,negative,negative
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,0,negative,negative,positive
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",0,negative,negative,positive
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",0,negative,negative,neutral
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,0,negative,negative,positive
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",0,negative,neutral,positive
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",0,negative,negative,neutral
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0,negative,negative,negative
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",0,negative,neutral,negative
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",0,negative,negative,neutral
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",0,negative,negative,neutral
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",0,negative,negative,neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",0,negative,negative,negative
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,0,negative,negative,neutral
Sales of mid-strength beer decreased by 40 % .,0,negative,negative,neutral
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",0,negative,negative,negative
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,0,negative,negative,negative
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",0,negative,negative,negative
"Cash flow after investments amounted to EUR45m , down from EUR46m .",0,negative,neutral,positive
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,0,negative,negative,negative
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,0,negative,negative,negative
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",0,negative,neutral,neutral
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,0,negative,negative,positive
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,0,negative,negative,positive
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,0,negative,negative,neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,0,negative,neutral,negative
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0,negative,negative,positive
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",0,negative,negative,positive
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",0,negative,negative,negative
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",0,negative,neutral,neutral
"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",0,negative,negative,positive
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",0,negative,negative,neutral
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",0,negative,negative,neutral
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0,negative,neutral,negative
The operating margin came down to 2.4 % from 5.7 % .,0,negative,negative,positive
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",0,negative,negative,positive
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",0,negative,negative,positive
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",0,negative,negative,positive
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,1,neutral,positive,negative
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,1,neutral,neutral,negative
"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",1,neutral,neutral,neutral
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",1,neutral,neutral,positive
Less than ten people will face pension agreements .,1,neutral,negative,neutral
Odell has not contacted the State of Finland in this issue .,1,neutral,neutral,neutral
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",1,neutral,neutral,positive
"Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform .",1,neutral,positive,neutral
Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,1,neutral,positive,negative
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",1,neutral,positive,neutral
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",1,neutral,neutral,neutral
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",1,neutral,positive,negative
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",1,neutral,neutral,negative
The contract value amounts to EUR 2.4 million .,1,neutral,neutral,negative
"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",1,neutral,neutral,neutral
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",1,neutral,positive,neutral
"The value of the order is EUR 700,000 .",1,neutral,positive,positive
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,neutral,neutral,positive
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,1,neutral,neutral,neutral
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,1,neutral,neutral,neutral
The business area 's net sales were slightly over 2m in 2006 .,1,neutral,neutral,positive
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,1,neutral,positive,negative
"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",1,neutral,neutral,positive
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",1,neutral,neutral,neutral
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",1,neutral,neutral,positive
The shares represented 4.998 % of total share capital and 2.14 % of total voting rights .,1,neutral,neutral,negative
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,1,neutral,neutral,neutral
"The store is located in Poznan in a shopping center named Pestka , the company added .",1,neutral,neutral,positive
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",1,neutral,neutral,positive
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,1,neutral,neutral,neutral
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",1,neutral,positive,positive
"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1,neutral,neutral,positive
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",1,neutral,positive,positive
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,1,neutral,positive,positive
No changes in media activity were seen in October compared with September .,1,neutral,neutral,positive
Bluewin Security is available as a monthly subscription .,1,neutral,neutral,neutral
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .,1,neutral,neutral,negative
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,1,neutral,neutral,negative
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",1,neutral,negative,neutral
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",1,neutral,neutral,neutral
Each share is entitled to one vote .,1,neutral,neutral,negative
The company does not disclose the sum it applied for .,1,neutral,negative,positive
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,1,neutral,neutral,neutral
R&D Loan ) .,1,neutral,neutral,neutral
Valga Lihatoostus markets its products under the Maks & Moorits trademark .,1,neutral,neutral,neutral
The office space will rise above the remodeled Cannon Street underground station .,1,neutral,positive,neutral
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",1,neutral,positive,neutral
"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",1,neutral,positive,neutral
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",1,neutral,positive,negative
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",1,neutral,positive,negative
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",1,neutral,neutral,negative
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",1,neutral,neutral,positive
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,1,neutral,neutral,neutral
"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",1,neutral,positive,neutral
The value of the orders is over EUR 10mn .,1,neutral,positive,negative
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",1,neutral,neutral,negative
`` This could be us .,1,neutral,neutral,neutral
Raisio is the site of the main production plants as well as company headquarters .,1,neutral,neutral,negative
The total value of the deliveries is some EUR65m .,1,neutral,positive,positive
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,1,neutral,neutral,negative
"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",1,neutral,neutral,neutral
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",1,neutral,positive,positive
"The approximately 20,000 dwt vessel has been ordered from India .",1,neutral,positive,negative
Stora Enso will receive a 19.9 pct equity interest in the combined company .,1,neutral,neutral,positive
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",1,neutral,neutral,positive
"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",1,neutral,neutral,positive
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",1,neutral,positive,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,1,neutral,positive,negative
"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics .",1,neutral,positive,positive
The employee negotiations are to address measures needed to adjust the operations to the present production situation .,1,neutral,neutral,negative
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",1,neutral,neutral,negative
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",1,neutral,positive,positive
There have not been previous share subscriptions with 2004 stock options .,1,neutral,neutral,positive
"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",1,neutral,neutral,negative
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1,neutral,neutral,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",1,neutral,neutral,neutral
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,1,neutral,positive,positive
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",1,neutral,positive,neutral
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",1,neutral,neutral,negative
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,1,neutral,neutral,neutral
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,1,neutral,neutral,neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,1,neutral,neutral,neutral
The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood .,1,neutral,positive,negative
Panostaja did not disclose the purchase price .,1,neutral,neutral,neutral
The maximum number of new shares to be offered is 22 million .,1,neutral,neutral,neutral
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",1,neutral,neutral,negative
The deliveries are scheduled for the summer and autumn of 2008 .,1,neutral,neutral,neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,1,neutral,neutral,neutral
"The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ál volume capacities .",1,neutral,neutral,neutral
The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .,1,neutral,neutral,positive
"In his current position , Manty has worked since 1996 .",1,neutral,neutral,negative
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,neutral,neutral,neutral
"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",1,neutral,positive,neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,1,neutral,neutral,negative
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",1,neutral,neutral,neutral
"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .",1,neutral,positive,negative
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1,neutral,neutral,negative
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",1,neutral,neutral,neutral
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,1,neutral,neutral,neutral
The value of the orders is about EUR 25mn .,1,neutral,positive,negative
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,2,positive,positive,positive
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",2,positive,positive,negative
"International sales rose by 59.8 % to EUR 1,244.4 mn .",2,positive,positive,negative
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",2,positive,positive,positive
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",2,positive,positive,positive
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2,positive,positive,negative
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,2,positive,positive,negative
Our standardised services have met with a positive reception among our customers as well as at Itella .,2,positive,positive,positive
The policy was also aimed at making the companies more profitable and competitive .,2,positive,neutral,positive
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",2,positive,positive,negative
Turnover rose to EUR21m from EUR17m .,2,positive,neutral,positive
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,2,positive,positive,positive
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",2,positive,neutral,positive
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",2,positive,neutral,negative
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",2,positive,positive,positive
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",2,positive,positive,positive
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,2,positive,positive,neutral
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,2,positive,positive,positive
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",2,positive,neutral,negative
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,2,positive,neutral,positive
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",2,positive,neutral,neutral
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",2,positive,positive,neutral
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,2,positive,positive,negative
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",2,positive,positive,neutral
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",2,positive,neutral,neutral
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,2,positive,positive,negative
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2,positive,neutral,positive
"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",2,positive,neutral,negative
