text1,text2,label_id,label,sentence,prediction
Examine the evaluation process by reviewing records of the source selection procedures and ,All the records of the source selection procedures are destroyed.,2,contradiction,Examine the evaluation process by reviewing records of the source selection procedures and  All the records of the source selection procedures are destroyed.,contradiction
"Lewis won the close bout in a unanimous decision , making him the first undisputed titleholder since 1992.",Lewis was beaten badly in his bout.,2,contradiction,"Lewis won the close bout in a unanimous decision , making him the first undisputed titleholder since 1992. Lewis was beaten badly in his bout.",contradiction
One is that few lawyers are experienced in poverty law and most are reluctant - without support and assistance - to handle such cases.,Most lawyers are experienced in poverty law.,2,contradiction,One is that few lawyers are experienced in poverty law and most are reluctant - without support and assistance - to handle such cases. Most lawyers are experienced in poverty law.,contradiction
"Grande-Terre (Great Land) is smaller (565 sq km/218 sq miles), drier, flatter, and more important because it has Pointe Pitre, Guadeloupe's commercial center and largest city.",Grande-Terre is the commercial center and largest city.,2,contradiction,"Grande-Terre (Great Land) is smaller (565 sq km/218 sq miles), drier, flatter, and more important because it has Pointe Pitre, Guadeloupe's commercial center and largest city. Grande-Terre is the commercial center and largest city.",entailment
No defendants were ordered to pay more than a $250 fine for violating the court order.,Every defendant had to pay over $300 in fines.,2,contradiction,No defendants were ordered to pay more than a $250 fine for violating the court order. Every defendant had to pay over $300 in fines.,entailment
"Unlike last night's performance, which ended abruptly, tonight's format allowed for 20-second-long conclusions, speed-speeches that recalled the great Monty Python summarize Proust contest.",The speeches continued all day.,2,contradiction,"Unlike last night's performance, which ended abruptly, tonight's format allowed for 20-second-long conclusions, speed-speeches that recalled the great Monty Python summarize Proust contest. The speeches continued all day.",contradiction
He remembered a story his grandmother had told him when he was very small.,Sadly he never met his grandmother.,2,contradiction,He remembered a story his grandmother had told him when he was very small. Sadly he never met his grandmother.,contradiction
What was he doing to her? ,He was not interacting with the woman.,2,contradiction,What was he doing to her?  He was not interacting with the woman.,contradiction
"ACTUARIAL LIABILITY - A liability based on statistical calculations and actuarial assumptions (actuarial assumptions are conditions used to resolve uncertainties in the absence of information concerning future events affecting insurance, pension expenses, etc.).",Actuarial assumptions are conditions used to resolve uncertainty's in the presence of too much information concerning future events affecting insurance.,2,contradiction,"ACTUARIAL LIABILITY - A liability based on statistical calculations and actuarial assumptions (actuarial assumptions are conditions used to resolve uncertainties in the absence of information concerning future events affecting insurance, pension expenses, etc.). Actuarial assumptions are conditions used to resolve uncertainty's in the presence of too much information concerning future events affecting insurance.",contradiction
"He told her, says the publication, that his relationship with Hillary was now nothing more than a political alliance that would end when his term did.",He had absolutely no relationship with Hillary.,2,contradiction,"He told her, says the publication, that his relationship with Hillary was now nothing more than a political alliance that would end when his term did. He had absolutely no relationship with Hillary.",contradiction
uh yes i i used to work with a guy from Puerto Rico when i worked for Hewlett Packard,I don't think I've ever met anybody from Puerto Rico.,2,contradiction,uh yes i i used to work with a guy from Puerto Rico when i worked for Hewlett Packard I don't think I've ever met anybody from Puerto Rico.,entailment
that would be really awful,That would be really wonderful,2,contradiction,that would be really awful That would be really wonderful,contradiction
uh-huh i've just used WordPerfect and Lotus,"No, I've never tried Lotus or Wordperfect before.",2,contradiction,"uh-huh i've just used WordPerfect and Lotus No, I've never tried Lotus or Wordperfect before.",contradiction
"Time 's cover story details the president's soaring poll numbers and the various boosts they've given to his lawyers' confidence, his relationships with Congress, and even to donations to the Democratic Party.",The president's poll numbers are sinking.,2,contradiction,"Time 's cover story details the president's soaring poll numbers and the various boosts they've given to his lawyers' confidence, his relationships with Congress, and even to donations to the Democratic Party. The president's poll numbers are sinking.",contradiction
uh you know being uh i mean by the time you get off work go by and pick up the uh baby from the baby sitter it's you know after six and by the time everything is settled in it's ten o'clock before i can catch up on anything,I pick my kid up by 3pm,2,contradiction,uh you know being uh i mean by the time you get off work go by and pick up the uh baby from the baby sitter it's you know after six and by the time everything is settled in it's ten o'clock before i can catch up on anything I pick my kid up by 3pm,contradiction
"Jon slapped him again, harder.",Jon touched him gently.,2,contradiction,"Jon slapped him again, harder. Jon touched him gently.",contradiction
"Of particular importance, however, are the methods for ensuring that LSC obtain necessary access to information in ways that ensure full compliance consistent with its statutory obligations.",The LSC doesn't need any access to information as they can work with what is given to them.,2,contradiction,"Of particular importance, however, are the methods for ensuring that LSC obtain necessary access to information in ways that ensure full compliance consistent with its statutory obligations. The LSC doesn't need any access to information as they can work with what is given to them.",contradiction
"For summer visitors, in addition to superb facilities for tennis and swimming, the town's setting among grassy alpine meadows and pine, spruce, and larch forest is perfect for hikes.",Hikers avoid the town because it is impossible to hike near it.,2,contradiction,"For summer visitors, in addition to superb facilities for tennis and swimming, the town's setting among grassy alpine meadows and pine, spruce, and larch forest is perfect for hikes. Hikers avoid the town because it is impossible to hike near it.",contradiction
"Creatures that would refuse to harm children, under such provocation as they received, are admirable.",Creatures that won't harm children under such provocation are dumb.,2,contradiction,"Creatures that would refuse to harm children, under such provocation as they received, are admirable. Creatures that won't harm children under such provocation are dumb.",entailment
"Usually, my tardiness wasn't a problem.",My tardiness was always a problem.,2,contradiction,"Usually, my tardiness wasn't a problem. My tardiness was always a problem.",contradiction
but you watch it,You don't watch it.,2,contradiction,but you watch it You don't watch it.,entailment
"The seminar is held the second Thursday each month from 6 to 8 p.m., usually in the County Board of Supervisors meeting room at 219 Cherry St. The meetings feature a panel consisting of a professional attorney and a judge.",The seminar is on the second Friday of each month.,2,contradiction,"The seminar is held the second Thursday each month from 6 to 8 p.m., usually in the County Board of Supervisors meeting room at 219 Cherry St. The meetings feature a panel consisting of a professional attorney and a judge. The seminar is on the second Friday of each month.",contradiction
It's an impossible task.,The task is quite possible.,2,contradiction,It's an impossible task. The task is quite possible.,contradiction
"Even if sex addiction exists, and even if Clinton qualifies, he is unlikely to claim the banner.",Clinton will hide behind the banner of sex addiction.  ,2,contradiction,"Even if sex addiction exists, and even if Clinton qualifies, he is unlikely to claim the banner. Clinton will hide behind the banner of sex addiction.  ",contradiction
"With a staff of 80 attorneys and 90 support staff, the organization provides civil legal services and criminal representation of indigent defendants in both state and federal courts.",The staff of the organization consists of 3000 attorneys and 19 support staff. ,2,contradiction,"With a staff of 80 attorneys and 90 support staff, the organization provides civil legal services and criminal representation of indigent defendants in both state and federal courts. The staff of the organization consists of 3000 attorneys and 19 support staff. ",contradiction
so i got an opportunity to transfer back and i took it,I didn't transfer back.,2,contradiction,so i got an opportunity to transfer back and i took it I didn't transfer back.,contradiction
For the last 200 years it has been associated with artists and bohemians.,Artists have been banned from here for the past 200 years.,2,contradiction,For the last 200 years it has been associated with artists and bohemians. Artists have been banned from here for the past 200 years.,contradiction
"Altruistic parents would save the money from their tax cuts and leave it to the children, who must pay off all that government debt someday; that saving would hold interest rates down.",Parents don't want to leave money to their kids.,2,contradiction,"Altruistic parents would save the money from their tax cuts and leave it to the children, who must pay off all that government debt someday; that saving would hold interest rates down. Parents don't want to leave money to their kids.",contradiction
"Boone claims that the album's purpose is to attract metal enthusiasts to Jesus, and that his get-up was a spoof of his old choirboy image.",Boone's get-up is a nod to rodeo clowns.,2,contradiction,"Boone claims that the album's purpose is to attract metal enthusiasts to Jesus, and that his get-up was a spoof of his old choirboy image. Boone's get-up is a nod to rodeo clowns.",contradiction
"That was Joyce's age when J.D. summoned her to his hilltop aerie in Cornish, N.H.",JD didn't speak to anyone.,2,contradiction,"That was Joyce's age when J.D. summoned her to his hilltop aerie in Cornish, N.H. JD didn't speak to anyone.",entailment
"Rouen continues to work on its monuments and public buildings, and recently has finished quayside renovations aimed at bringing life back to the riverside with new promenades.",There has been no effort to refurbish the Rouen area.,2,contradiction,"Rouen continues to work on its monuments and public buildings, and recently has finished quayside renovations aimed at bringing life back to the riverside with new promenades. There has been no effort to refurbish the Rouen area.",contradiction
"In evolving its products this way, Caterpillar is able to use modeling and simulation prior to initial manufacturing because it has existing products to provide a baseline of knowledge and a good benchmark for assessing the simulated performance.",Caterpillar doesn't have a knowledge baseline derived from its currently existing products.,2,contradiction,"In evolving its products this way, Caterpillar is able to use modeling and simulation prior to initial manufacturing because it has existing products to provide a baseline of knowledge and a good benchmark for assessing the simulated performance. Caterpillar doesn't have a knowledge baseline derived from its currently existing products.",contradiction
Thanks to all who've spent a few minutes telling us about themselves.,No one ended up sharing information about themselves.,2,contradiction,Thanks to all who've spent a few minutes telling us about themselves. No one ended up sharing information about themselves.,contradiction
I just got back from a job fair in Washington where I identified about two dozen very qualified young attorneys.,I was getting ready to go to the job fair in Washington.,2,contradiction,I just got back from a job fair in Washington where I identified about two dozen very qualified young attorneys. I was getting ready to go to the job fair in Washington.,contradiction
"For golfers there are twin 18-hole Kentucky blue-grass courses, and the local golf club has a ranch that hires out mounts for riding.","The golf course is currently closed, but used to offer many amenities to visiting tourists. ",2,contradiction,"For golfers there are twin 18-hole Kentucky blue-grass courses, and the local golf club has a ranch that hires out mounts for riding. The golf course is currently closed, but used to offer many amenities to visiting tourists. ",contradiction
"Pyrgi village, with its walls marked by the incised black and white geometric pattern known as xysta, is probably the most visited, although Mesta is also beautiful.",Among the least visited is the village of Pyrgi.,2,contradiction,"Pyrgi village, with its walls marked by the incised black and white geometric pattern known as xysta, is probably the most visited, although Mesta is also beautiful. Among the least visited is the village of Pyrgi.",contradiction
"Idomeneo , by Wolfgang Amadeus Mozart, performed by Placido Domingo and the Metropolitan Opera Orchestra and Chorus, conducted by James Levine (Deutsche Grammophon).","Justin Bieber's hit single ""Baby"" topped records this evening, three spots ahead of the Metro Orchestra and Chorus' rendition of Idomeneo by Mozart.",2,contradiction,"Idomeneo , by Wolfgang Amadeus Mozart, performed by Placido Domingo and the Metropolitan Opera Orchestra and Chorus, conducted by James Levine (Deutsche Grammophon). Justin Bieber's hit single ""Baby"" topped records this evening, three spots ahead of the Metro Orchestra and Chorus' rendition of Idomeneo by Mozart.",contradiction
The medical evidence was next taken. ,There was no medical evidence in the case.,2,contradiction,The medical evidence was next taken.  There was no medical evidence in the case.,contradiction
The law currently specifies that the rates for books will not vary with distance.,The law says the rates for books will vary greatly depending on distance.  ,2,contradiction,The law currently specifies that the rates for books will not vary with distance. The law says the rates for books will vary greatly depending on distance.  ,contradiction
"Come now, you can't say I'm sentimental, she added sharply.",I've always been sentimental.,2,contradiction,"Come now, you can't say I'm sentimental, she added sharply. I've always been sentimental.",contradiction
Equipment hire and instruction are available for those who want it.,No rentals or instruction are available here.,2,contradiction,Equipment hire and instruction are available for those who want it. No rentals or instruction are available here.,contradiction
"One of Neuharth's first articulations of his metaphysics came in October 1983, in a speech to the Overseas Press Club in New York.","In 1983, Neuharth spoke at length to the Overseas Press Club, held in Chicago.  ",2,contradiction,"One of Neuharth's first articulations of his metaphysics came in October 1983, in a speech to the Overseas Press Club in New York. In 1983, Neuharth spoke at length to the Overseas Press Club, held in Chicago.  ",entailment
The statement should be qualified in situations where the auditors did not follow an applicable standard.,This statement should be qualified even though the auditors followed the standard.,2,contradiction,The statement should be qualified in situations where the auditors did not follow an applicable standard. This statement should be qualified even though the auditors followed the standard.,contradiction
Gwen Verdon--that was a freak accident,Gwen Veluz had a freak accident.,2,contradiction,Gwen Verdon--that was a freak accident Gwen Veluz had a freak accident.,contradiction
"Even if gross national saving were only sufficient to replace depreciated capital, the economy could grow to some extent because replacing worn-out and used capital with new equipment tends to bring improved technology into the production process.","If gross national saving was only sufficient to replace depreciated capital, the economy would not grow.",2,contradiction,"Even if gross national saving were only sufficient to replace depreciated capital, the economy could grow to some extent because replacing worn-out and used capital with new equipment tends to bring improved technology into the production process. If gross national saving was only sufficient to replace depreciated capital, the economy would not grow.",contradiction
"So I'm off.""","So, I will stay indefinitely.",2,contradiction,"So I'm off."" So, I will stay indefinitely.",contradiction
"However, participants noted the SEC may not have been provided with sufficient resources to achieve such results.",The SEC had the proper resources to achieve the results.,2,contradiction,"However, participants noted the SEC may not have been provided with sufficient resources to achieve such results. The SEC had the proper resources to achieve the results.",contradiction
"But as the war over Kosovo escalates, such analogies prove to be of limited and rapidly diminishing use.","Given the surging of the war over Kosovo, such analogies become very practical.",2,contradiction,"But as the war over Kosovo escalates, such analogies prove to be of limited and rapidly diminishing use. Given the surging of the war over Kosovo, such analogies become very practical.",contradiction
A limited number of studies have estimated the impact of air pollution on new incidences of chronic bronchitis.,The link between air pollution and bronchitis is well studied.,2,contradiction,A limited number of studies have estimated the impact of air pollution on new incidences of chronic bronchitis. The link between air pollution and bronchitis is well studied.,contradiction
oh it's really it's true,It's not true at all.,2,contradiction,oh it's really it's true It's not true at all.,contradiction
You don't know where he is? she asked faintly.,She is thrilled that they don't know where he is.,2,contradiction,You don't know where he is? she asked faintly. She is thrilled that they don't know where he is.,contradiction
" ""Maybe, only there can be upsets.""Topham looked thoughtful.",Topham was not thinking.,2,contradiction," ""Maybe, only there can be upsets.""Topham looked thoughtful. Topham was not thinking.",contradiction
i i i think the country is is um too ingrained in the inches and and just the general um background the history of our country has been inches and i don't think there's a big advantage in going to the metric system,Our country can easily stop using inches for measurements.,2,contradiction,i i i think the country is is um too ingrained in the inches and and just the general um background the history of our country has been inches and i don't think there's a big advantage in going to the metric system Our country can easily stop using inches for measurements.,contradiction
"I agree that there is nothing like going to a bookstore on a cold winter morning, but there is also nothing like discovering an interesting new author while sitting in your home in your robe, sipping a cup of coffee.",I do not think there is anything good about reading from home.,2,contradiction,"I agree that there is nothing like going to a bookstore on a cold winter morning, but there is also nothing like discovering an interesting new author while sitting in your home in your robe, sipping a cup of coffee. I do not think there is anything good about reading from home.",contradiction
"Even the president, that drab national dad, has been accused of similarly unsurprising antics.",The president has never been accused of such common antics..,2,contradiction,"Even the president, that drab national dad, has been accused of similarly unsurprising antics. The president has never been accused of such common antics..",contradiction
and um those are the two specialties which they have that and their stewed tomatoes which are well known all over the Dayton area,No one in Dayton has tried their cooking yet but I think they will enjoy their stewed tomatoes dish.,2,contradiction,and um those are the two specialties which they have that and their stewed tomatoes which are well known all over the Dayton area No one in Dayton has tried their cooking yet but I think they will enjoy their stewed tomatoes dish.,contradiction
"Mr. Lawrence, he's wonderful. ",Mr. Lawrence is a detestable person.,2,contradiction,"Mr. Lawrence, he's wonderful.  Mr. Lawrence is a detestable person.",contradiction
"We could easily follow along in that vein, in our less perfect versions, and so can Miss America, in her sweet one; but what's truly groundbreaking nowadays is to stroll on the sand or romp in the waves in a full-length dress.",What is hot nowadays is full out nudity.,2,contradiction,"We could easily follow along in that vein, in our less perfect versions, and so can Miss America, in her sweet one; but what's truly groundbreaking nowadays is to stroll on the sand or romp in the waves in a full-length dress. What is hot nowadays is full out nudity.",contradiction
"PERFORMANCE MEASUREMENT - A means of evaluating efficiency, effectiveness, and results.",Performance measurements are ways of evaluating fixed and variable costs. ,2,contradiction,"PERFORMANCE MEASUREMENT - A means of evaluating efficiency, effectiveness, and results. Performance measurements are ways of evaluating fixed and variable costs. ",contradiction
I also watched a boy in Lucca try to run over pigeons with his bike.,A girl in Lucca tried to run over pigeons with her bike.,2,contradiction,I also watched a boy in Lucca try to run over pigeons with his bike. A girl in Lucca tried to run over pigeons with her bike.,contradiction
"I might have included that in the six, but I did not. ",I included it. ,2,contradiction,"I might have included that in the six, but I did not.  I included it. ",neutral
"The first alternative C-R function is based on the relative risk of 1.16 from the Fine Particles Alone, Regional Adjustment Random Effects model reported in Table 46 of the HEI report.",The first alternative C-R function is based on the relative risk from large  particles.,2,contradiction,"The first alternative C-R function is based on the relative risk of 1.16 from the Fine Particles Alone, Regional Adjustment Random Effects model reported in Table 46 of the HEI report. The first alternative C-R function is based on the relative risk from large  particles.",contradiction
Nowadays it's a popular spot for picnics and barbecues.,No one goes there to picnic or barbecue.,2,contradiction,Nowadays it's a popular spot for picnics and barbecues. No one goes there to picnic or barbecue.,contradiction
"And when he had a hangover everything was always falling from his hands, which in his case could have serious repercussions.",He was able to hold onto things really well when he had a hangover.,2,contradiction,"And when he had a hangover everything was always falling from his hands, which in his case could have serious repercussions. He was able to hold onto things really well when he had a hangover.",contradiction
"De Wit was paid a reasonable stipend of a120 per year to produce the works, examples of which can also be seen in other rooms of the palace.","De Wit didn't pay a reasonable stipend, and thus we now lack the works.",2,contradiction,"De Wit was paid a reasonable stipend of a120 per year to produce the works, examples of which can also be seen in other rooms of the palace. De Wit didn't pay a reasonable stipend, and thus we now lack the works.",contradiction
Not a doubt of it.,I doubt it.,2,contradiction,Not a doubt of it. I doubt it.,contradiction
Perhaps he should clear out even farther and head for California.,"Certainly, he should not head to California, he cleared out enough.",2,contradiction,"Perhaps he should clear out even farther and head for California. Certainly, he should not head to California, he cleared out enough.",contradiction
"1. Federal fiscal policy affects the federal surplus or deficit which, when measured on a NIPA basis, represents the amount of federal government saving or dissaving, which in turn directly affects national saving.",Government saving does not impact national saving,2,contradiction,"1. Federal fiscal policy affects the federal surplus or deficit which, when measured on a NIPA basis, represents the amount of federal government saving or dissaving, which in turn directly affects national saving. Government saving does not impact national saving",contradiction
"Destroyed by three hurricanes in this century and rebuilt each time, the church is now said to be almost entirely constructed of pieces of iron.",The church was destroyed and never rebuilt.,2,contradiction,"Destroyed by three hurricanes in this century and rebuilt each time, the church is now said to be almost entirely constructed of pieces of iron. The church was destroyed and never rebuilt.",contradiction
Incorporated in its structure are fragments of medieval and Renaissance architecture and sculpture.,THe structure is only influenced by modern architecture.,2,contradiction,Incorporated in its structure are fragments of medieval and Renaissance architecture and sculpture. THe structure is only influenced by modern architecture.,contradiction
Freak Street is no longer Kathmandu's hub for the backpacking crowd,All the backpackers call Freek Street the hub of their activity in Kathmandu.,2,contradiction,Freak Street is no longer Kathmandu's hub for the backpacking crowd All the backpackers call Freek Street the hub of their activity in Kathmandu.,contradiction
Today Edinburgh Zoo continues work on the conservation of animal species and acts as an educational resource.,"There are no more animals at the Edinburgh Zoo, since it was closed years ago.",2,contradiction,"Today Edinburgh Zoo continues work on the conservation of animal species and acts as an educational resource. There are no more animals at the Edinburgh Zoo, since it was closed years ago.",contradiction
The spouse or unmarried child (21 years or younger) of those listed above or those already buried in Arlington.,The bodies of the spouses and unmarried children were yet to be buried.,2,contradiction,The spouse or unmarried child (21 years or younger) of those listed above or those already buried in Arlington. The bodies of the spouses and unmarried children were yet to be buried.,contradiction
"I admit, a very nice and clean guy.",A man who is clean and friendly.,0,entailment,"I admit, a very nice and clean guy. A man who is clean and friendly.",entailment
everybody else was an import,Everybody else was imported.,0,entailment,everybody else was an import Everybody else was imported.,contradiction
"The partition of Poland collapsed in 1918, and Poland's bid for independence won the support of American president Woodrow Wilson and the Bolshevik government in Russia.",The Russian government supported the idea of Polish independence.,0,entailment,"The partition of Poland collapsed in 1918, and Poland's bid for independence won the support of American president Woodrow Wilson and the Bolshevik government in Russia. The Russian government supported the idea of Polish independence.",entailment
"For 2020, the adjustment factor is 1.319.","For 2020, the factor of adjustment was 1.319.",0,entailment,"For 2020, the adjustment factor is 1.319. For 2020, the factor of adjustment was 1.319.",entailment
"Because while the dandy stands for beauty and elegance, he also stands for the restraint and self-discipline required to appear refined at all times.",The dandy must look to be refined.,0,entailment,"Because while the dandy stands for beauty and elegance, he also stands for the restraint and self-discipline required to appear refined at all times. The dandy must look to be refined.",entailment
"San'doro fought with slow precision, attacking with unique techniques and a variance of styles.",San'doro used a bunch of different styles.,0,entailment,"San'doro fought with slow precision, attacking with unique techniques and a variance of styles. San'doro used a bunch of different styles.",contradiction
i was in high school um-hum he was very good i remember i saw him in a huge stadium in um Philadelphia it was in JFK Stadium it was i don't remember,I saw him while I was in high school.,0,entailment,i was in high school um-hum he was very good i remember i saw him in a huge stadium in um Philadelphia it was in JFK Stadium it was i don't remember I saw him while I was in high school.,entailment
i think it would be nice to just go out and pick some tomatoes off the porch we get lots of sunlight here and the porch is screened in and it's pretty large,I'd love to be able to have tomatoes growing on the porch.,0,entailment,i think it would be nice to just go out and pick some tomatoes off the porch we get lots of sunlight here and the porch is screened in and it's pretty large I'd love to be able to have tomatoes growing on the porch.,contradiction
"I may have lost some of youth's sharpness, and I may be stranded in an alien world, but I am no fool.","Even if I did lose a bit of youth's sharpness and even if I am stuck in an alien world, I still am not a fool. ",0,entailment,"I may have lost some of youth's sharpness, and I may be stranded in an alien world, but I am no fool. Even if I did lose a bit of youth's sharpness and even if I am stuck in an alien world, I still am not a fool. ",entailment
and well they don't call it remedial reading these days they call it something else but but anyway at the time that's what i taught and um,They call it something other than remedial reading these days.,0,entailment,and well they don't call it remedial reading these days they call it something else but but anyway at the time that's what i taught and um They call it something other than remedial reading these days.,contradiction
"This agreement, which gave the Serbs a great deal more than Vance-Owen would have, was puffed as a Nobel-worthy diplomatic accomplishment.",That agreement gave the Serbs a lot more than Vance-Owen would have.,0,entailment,"This agreement, which gave the Serbs a great deal more than Vance-Owen would have, was puffed as a Nobel-worthy diplomatic accomplishment. That agreement gave the Serbs a lot more than Vance-Owen would have.",entailment
oh yeah i could go on and on about that,I could keep on going about that.,0,entailment,oh yeah i could go on and on about that I could keep on going about that.,neutral
(But let's not bring up my cousins.),Let us not bring up my cousins.,0,entailment,(But let's not bring up my cousins.) Let us not bring up my cousins.,entailment
The trickle has suddenly become a torrent.,The small flow abruptly became a large forceful flow.,0,entailment,The trickle has suddenly become a torrent. The small flow abruptly became a large forceful flow.,entailment
